Geneid	SRR15024168	SRR15024173	SRR15024174	SRR15024175	SRR15024177	SRR15024178	SRR15024182	SRR15024183	SRR15024186	SRR15024188
ENSMMUG00000000165	1369	1138	1046	1195	1316	1434	1412	914	1330	1058
ENSMMUG00000000166	3197	3407	3126	3497	3025	2654	3392	2435	2439	2387
ENSMMUG00000000167	1773	1776	1914	2843	1525	1410	1356	1443	1527	1600
ENSMMUG00000000168	2517	2684	2937	2419	3032	2360	3796	3712	2870	2040
ENSMMUG00000000169	1984	1828	1937	1845	1924	1615	2256	1512	1936	1766
ENSMMUG00000000170	4	0	0	4	2	0	0	1	5	1
ENSMMUG00000000171	1858	1743	1688	2353	1699	1662	1764	1435	1658	1677
ENSMMUG00000000172	206	156	129	168	140	133	174	170	124	154
ENSMMUG00000000173	1021	687	763	944	727	747	788	658	766	811
ENSMMUG00000000179	11	5	10	16	3	7	8	4	2	5
ENSMMUG00000000180	255	182	208	154	354	156	262	200	161	247
ENSMMUG00000000181	181	142	205	105	128	87	182	97	156	191
ENSMMUG00000000182	740	775	929	626	839	604	908	780	724	661
ENSMMUG00000000183	910	571	918	735	760	612	861	618	763	666
ENSMMUG00000000184	920	745	782	777	647	664	753	676	726	688
ENSMMUG00000000185	314	312	346	256	324	157	345	206	312	254
ENSMMUG00000000186	2718	1982	2305	1762	2355	1826	2814	2155	2334	2157
ENSMMUG00000000187	402	313	499	327	300	316	497	402	387	299
ENSMMUG00000000188	4164	3276	3671	4715	3548	3430	3099	3159	3665	2988
ENSMMUG00000000190	360	325	251	344	298	298	335	260	345	268
ENSMMUG00000000192	2902	2591	2715	2114	2386	2101	3602	2597	2392	1642
ENSMMUG00000000194	2867	2051	2960	2762	2205	2409	2793	1504	2564	2999
ENSMMUG00000000195	283	326	361	409	379	320	478	183	445	395
ENSMMUG00000000196	19	15	16	24	15	10	53	14	10	37
ENSMMUG00000000198	420	353	480	361	441	356	559	361	414	297
ENSMMUG00000000200	0	0	0	0	0	0	0	0	0	1
ENSMMUG00000000202	2	0	0	2	0	1	1	0	0	0
ENSMMUG00000000203	221	137	78	161	105	152	218	71	108	185
ENSMMUG00000000204	130	119	94	123	73	107	93	58	100	85
ENSMMUG00000000205	105	87	77	68	103	61	99	63	77	73
ENSMMUG00000000208	127	71	80	68	102	64	134	147	111	64
ENSMMUG00000000215	26	19	19	36	22	6	8	24	17	16
ENSMMUG00000000217	2348	2183	2397	2095	2208	1699	2753	2192	2520	1996
ENSMMUG00000000218	1	1	2	0	4	1	1	2	4	2
ENSMMUG00000000220	418	344	343	290	436	220	408	327	357	312
ENSMMUG00000000222	1	3	1	1	6	0	2	4	3	1
ENSMMUG00000000223	131	69	96	20	79	42	81	66	89	70
ENSMMUG00000000224	1226	846	844	1242	780	856	1099	701	854	901
ENSMMUG00000000226	1711	1600	1871	1533	1688	1136	2019	1715	1396	1188
ENSMMUG00000000227	1307	1034	883	1021	691	1125	1329	551	700	806
ENSMMUG00000000229	2439	2003	2285	2002	2102	1624	2876	1880	2067	1871
ENSMMUG00000000232	203	170	118	143	190	162	279	185	158	170
ENSMMUG00000000237	539	405	420	422	451	294	415	406	399	275
ENSMMUG00000000238	911	678	714	925	690	602	808	585	750	796
ENSMMUG00000000242	585	457	456	401	540	405	739	750	645	508
ENSMMUG00000000243	1	0	0	0	1	0	0	0	2	0
ENSMMUG00000000244	0	1	0	0	0	0	0	0	0	0
ENSMMUG00000000245	21	1	6	9	10	6	8	34	18	10
ENSMMUG00000000246	2601	2420	2868	1803	2869	1672	3274	2284	2185	1907
ENSMMUG00000000249	4393	4553	4709	4522	5920	4602	6686	4684	5525	3970
ENSMMUG00000000250	73	108	90	158	93	137	151	77	79	70
ENSMMUG00000000252	831	552	705	494	615	431	673	528	573	413
ENSMMUG00000000256	141	76	26	110	76	131	35	109	112	78
ENSMMUG00000000258	3365	3247	3138	3237	3475	3042	4074	2581	3409	3071
ENSMMUG00000000262	2	0	6	2	3	2	0	2	0	1
ENSMMUG00000000263	527	495	592	583	545	531	641	509	557	541
ENSMMUG00000000264	1276	896	939	1120	858	724	1141	781	790	534
